Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/influxdb.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/influxdb.eda.nokia.com/v1alpha1,GET,ResourceList,resource_list,true,true,false
/apps/influxdb.eda.nokia.com/v1alpha1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/clusterexports,DELETE,com.nokia.eda.influxdb.v1alpha1.ClusterExportList,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/clusterexports,GET,com.nokia.eda.influxdb.v1alpha1.ClusterExportList,cluster_export_list,true,true,false
/apps/influxdb.eda.nokia.com/v1alpha1/clusterexports,POST,com.nokia.eda.influxdb.v1alpha1.ClusterExport,cluster_export,true,false,true
/apps/influxdb.eda.nokia.com/v1alpha1/clusterexports/_deleted,GET,com.nokia.eda.influxdb.v1alpha1.ClusterExport_DeletedResources,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/clusterexports/{name},DELETE,Status,cluster_export,true,false,true
/apps/influxdb.eda.nokia.com/v1alpha1/clusterexports/{name},GET,com.nokia.eda.influxdb.v1alpha1.ClusterExport,cluster_export,true,true,true
/apps/influxdb.eda.nokia.com/v1alpha1/clusterexports/{name},PATCH,Patch,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/clusterexports/{name},PUT,com.nokia.eda.influxdb.v1alpha1.ClusterExport,cluster_export,true,false,true
/apps/influxdb.eda.nokia.com/v1alpha1/clusterexports/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/clusterexports/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/clusterservers,DELETE,com.nokia.eda.influxdb.v1alpha1.ClusterServerList,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/clusterservers,GET,com.nokia.eda.influxdb.v1alpha1.ClusterServerList,cluster_server_list,true,true,false
/apps/influxdb.eda.nokia.com/v1alpha1/clusterservers,POST,com.nokia.eda.influxdb.v1alpha1.ClusterServer,cluster_server,true,false,true
/apps/influxdb.eda.nokia.com/v1alpha1/clusterservers/_deleted,GET,com.nokia.eda.influxdb.v1alpha1.ClusterServer_DeletedResources,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/clusterservers/{name},DELETE,Status,cluster_server,true,false,true
/apps/influxdb.eda.nokia.com/v1alpha1/clusterservers/{name},GET,com.nokia.eda.influxdb.v1alpha1.ClusterServer,cluster_server,true,true,true
/apps/influxdb.eda.nokia.com/v1alpha1/clusterservers/{name},PATCH,Patch,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/clusterservers/{name},PUT,com.nokia.eda.influxdb.v1alpha1.ClusterServer,cluster_server,true,false,true
/apps/influxdb.eda.nokia.com/v1alpha1/clusterservers/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/clusterservers/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/exports,GET,com.nokia.eda.influxdb.v1alpha1.ExportList,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports,DELETE,com.nokia.eda.influxdb.v1alpha1.ExportList,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports,GET,com.nokia.eda.influxdb.v1alpha1.ExportList,export_list,true,true,false
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports,POST,com.nokia.eda.influxdb.v1alpha1.Export,export,true,false,true
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports/_deleted,GET,com.nokia.eda.influxdb.v1alpha1.Export_DeletedResources,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports/{name},DELETE,Status,export,true,false,true
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports/{name},GET,com.nokia.eda.influxdb.v1alpha1.Export,export,true,true,true
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports/{name},PATCH,Patch,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports/{name},PUT,com.nokia.eda.influxdb.v1alpha1.Export,export,true,false,true
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/exports/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/servers,DELETE,com.nokia.eda.influxdb.v1alpha1.ServerList,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/servers,GET,com.nokia.eda.influxdb.v1alpha1.ServerList,server_list,true,true,false
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/servers,POST,com.nokia.eda.influxdb.v1alpha1.Server,server,true,false,true
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/servers/_deleted,GET,com.nokia.eda.influxdb.v1alpha1.Server_DeletedResources,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/servers/{name},DELETE,Status,server,true,false,true
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/servers/{name},GET,com.nokia.eda.influxdb.v1alpha1.Server,server,true,true,true
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/servers/{name},PATCH,Patch,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/servers/{name},PUT,com.nokia.eda.influxdb.v1alpha1.Server,server,true,false,true
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/servers/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/namespaces/{namespace}/servers/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/influxdb.eda.nokia.com/v1alpha1/servers,GET,com.nokia.eda.influxdb.v1alpha1.ServerList,,false,false,false
